CODGEO,PMIMP,DECUC_Q2,DECUC_Q1,DECUC_Q3,BREV,DECUC_D1,DECUC_D9,DECUC_D1D9,DISP_Q2,DISP_Q1,DISP_Q3,TP60,DISP_D1,DISP_D9,DISP_D1D9,PACT,PPEN,PPSOC,PIMPOT,PPAT,NOTE_FILO,C,C_C2SNP,C_C2SP,NOTE_CNAM,A,APPA,ARSAS,AAAH,NOTE_CNAF,annee
02304,"34,5",11680,5330,20180,"53,4",310,27640,"89,5",15490,11230,20960,"37,4",8880,26780,3,"59,5","26,8","19,7","-11,2","5,2",0,2525.0,703.0,122.0,0.0,962,342,236,158,0,2023
02381,34,13780,5930,21350,"47,1",0,28550,,15910,11700,21620,"33,7",8920,27370,"3,1","52,2",37,"16,5","-11,2","5,5",0,7306.0,1930.0,324.0,0.0,2345,801,676,387,0,2023
02408,"43,6",15720,7250,24220,"41,6",1190,34140,"28,8",17440,12300,23900,"29,6",9430,31950,"3,4","60,6","33,4","13,4","-14,1","6,7",0,24911.0,7038.0,1407.0,0.0,7103,2509,1614,951,0,2023
02691,"42,7",16010,7670,23900,"40,3",1120,34250,"30,6",17630,12550,23750,"27,9",9350,31920,"3,4","61,7","32,7","12,9","-14,5","7,2",0,49264.0,10570.0,2007.0,0.0,15282,5416,3654,1909,0,2023
02722,"43,9",15760,7890,24440,"41,1",1910,35560,"18,6",17600,12470,24170,"28,7",9210,33360,"3,6","60,8","32,4","12,1","-14,9","9,6",0,25734.0,4954.0,1268.0,0.0,7729,2728,1585,919,0,2023
02738,"41,2",16430,9270,22890,"36,4",3020,29550,"9,8",17920,13260,22960,"24,3",9950,28180,"2,8","59,3","35,1","12,6","-11,5","4,5",0,11789.0,2186.0,394.0,0.0,3330,1260,778,370,0,2023
02810,"50,5",18640,12090,25530,"28,2",6480,34680,"5,3",19610,14760,25110,"17,1",11260,32380,"2,9","73,2","25,7","8,7","-14,4","6,8",0,9634.0,951.0,194.0,0.0,2331,912,304,201,0,2023
0309503310,47,18500,10910,26760,"30,9",3380,37920,"11,2",19630,14190,26350,"20,1",10260,35470,"3,5","51,3","43,9","9,2","-15,5","11,1",0,35041.0,4215.0,1451.0,0.0,10838,3592,1842,1312,0,2023
0310103185,"46,1",18460,11020,25720,"30,1",3160,34390,"10,9",19600,14220,25430,"20,3",10340,32840,"3,2","55,9","39,9","9,6","-14,4",9,0,39993.0,5593.0,1706.0,0.0,10916,3721,2203,1327,0,2023
03185,44,17540,9810,24920,"33,7",2140,33990,"15,9",18940,13590,24720,"22,8",9930,32430,"3,3","55,6","38,9","10,9","-14,3","8,9",0,31746.0,4896.0,1566.0,0.0,9580,3207,1960,1210,0,2023
0318503211,45,17970,10300,25400,"32,2",2530,34530,"13,7",19240,13850,25120,"21,8",10120,32900,"3,3","55,8","39,2","10,4","-14,5","9,1",0,33805.0,4962.0,1603.0,0.0,10082,3310,1992,1400,0,2023
03190,"46,9",17680,9760,25730,"33,9",2110,35170,"16,7",19060,13620,25400,"22,4",9960,33130,"3,3","60,5","34,4","11,1","-14,5","8,5",0,18800.0,3081.0,1102.0,0.0,5827,2127,1008,793,0,2023
03310,"46,8",18300,10370,27170,"32,4",2430,39620,"16,3",19480,13840,26750,"21,3",9930,36870,"3,7","48,1",46,"9,4","-15,9","12,4",0,23273.0,2877.0,1068.0,0.0,7967,2574,1357,948,0,2023
04070,"51,9",19840,11900,28010,"27,6",4440,37670,"8,5",20390,14710,27090,"18,9",10590,34820,"3,3","58,7","39,4","8,5","-15,4","8,8",0,15542.0,1760.0,694.0,0.0,4311,1500,625,646,0,2023
04112,"50,3",19270,11030,29010,"30,4",4680,40720,"8,7",20060,14000,28020,"21,2",10370,37960,"3,7","53,8","31,4","7,1","-17,5","25,2",0,21887.0,2570.0,835.0,0.0,5134,2012,813,644,0,2023
05061,"55,4",20950,13970,28650,"22,1",7330,39030,"5,3",21330,15920,27690,"14,3",11770,36280,"3,1","62,7","36,2","6,6","-15,9","10,4",0,36615.0,3073.0,1150.0,0.0,9028,3537,1096,1119,0,2023
0602906030,"56,8",20160,12560,29860,"26,2",6270,44150,7,20650,14770,28410,"18,5",10620,39420,"3,7","62,4","35,2","5,8","-19,5","16,1",0,128480.0,9107.0,3167.0,0.0,25205,8885,3245,2403,0,2023
06033,"61,1",21910,14630,29810,21,8200,39200,"4,8",22010,16560,28360,"13,2",12110,36100,3,"77,8","23,7","6,1",-16,"8,4",0,12854.0,668.0,294.0,0.0,2309,864,167,214,0,2023
06054,"57,1",20570,13250,28330,"24,1",6810,38910,"5,7",20790,15320,27300,"15,9",11400,35410,"3,1","75,7","23,9",7,"-15,5","8,9",0,5086.0,359.0,135.0,0.0,959,341,91,97,0,2023
06069,"60,5",21820,14030,31230,"22,1",7420,44270,6,22050,15990,29580,15,11620,39810,"3,4",72,"23,4","5,6","-18,8","17,8",0,51842.0,3129.0,1114.0,0.0,10062,3448,904,1035,0,2023
06088,"56,3",20010,11360,30280,"29,3",4620,44530,"9,6",20530,14190,28670,"20,8",9970,39850,4,"70,3","29,2",7,"-18,4","11,9",0,385742.0,36594.0,12295.0,0.0,88379,26797,9832,9620,0,2023
0608806114,"56,3",20040,11400,30280,"29,2",4660,44480,"9,5",20550,14210,28670,"20,7",9990,39810,4,"70,5","29,1",7,"-18,4","11,8",0,390930.0,36845.0,12405.0,0.0,89451,27169,9924,9717,0,2023
0608806123,57,20390,11750,30500,"28,2",4900,44500,"9,1",20790,14420,28830,20,10130,39850,"3,9","70,6","29,2","6,8","-18,4","11,8",0,418323.0,38119.0,12860.0,0.0,94146,29096,10256,10097,0,2023
06155,"58,8",20520,13110,30060,"24,6",7050,43990,"6,2",20870,15060,28620,"17,5",10950,39580,"3,6","68,8","28,1","5,8","-18,8","16,1",0,29988.0,1975.0,736.0,0.0,5996,2294,684,498,0,2023
06157,"62,7",23920,15100,35310,20,7630,50760,"6,7",23530,16690,32600,"14,7",11220,44850,4,"67,6",32,"4,4","-18,2","14,2",0,19100.0,841.0,370.0,0.0,3270,1172,271,374,0,2023
07010,"45,8",17960,10650,25010,33,4460,33110,"7,4",19080,13850,24840,22,10210,31760,"3,1",61,"34,2","9,6","-14,1","9,3",0,16989.0,2039.0,633.0,0.0,4493,1502,654,554,0,2023
07019,"44,4",17230,9940,24890,"34,9",3560,35070,"9,8",18680,13360,24840,"24,1",9980,33470,"3,4",57,36,"9,6",-15,"12,4",0,11271.0,1500.0,457.0,0.0,3367,1210,550,400,0,2023
07186,"48,9",18890,10810,26910,"30,5",3080,36270,"11,8",19910,14370,26290,"19,6",10580,33860,"3,2","58,7","36,7","10,2","-14,7","9,1",0,9929.0,1212.0,796.0,0.0,2350,754,306,502,0,2023
07319,"45,8",17720,10170,24840,33,4360,33190,"7,6",19060,13650,24810,"22,8",9970,31860,"3,2","62,1","32,8","9,9","-13,3","8,5",0,7682.0,1038.0,351.0,0.0,1846,666,278,199,0,2023
08105,"43,9",16250,7700,24840,"39,9",670,35040,"52,6",17870,12570,24370,"28,1",9260,32480,"3,5","61,1","33,4","12,8","-14,8","7,5",0,45030.0,10049.0,2770.0,0.0,13565,4874,3294,1621,0,2023
08362,"44,6",17530,10270,25050,"33,1",3910,34090,"8,7",18460,13570,24500,"22,6",10130,31790,"3,1","63,2","33,4","10,2","-14,4","7,6",0,6237.0,808.0,231.0,0.0,1770,666,329,208,0,2023
08409,"36,5",14740,6980,22360,"43,7",400,31170,"77,3",16570,12130,22520,"30,7",9150,29550,"3,2","55,2","34,1","15,9","-11,9","6,7",0,15375.0,3381.0,831.0,0.0,5180,1766,1385,609,0,2023
09122,"49,3",19570,11220,28580,"29,8",4340,38430,"8,9",20280,14090,27620,"20,6",10360,35730,"3,4","59,1","37,7","8,8",-15,"9,4",0,9532.0,1600.0,510.0,0.0,3042,983,536,562,0,2023
09225,"44,1",17420,9800,25040,"34,9",2580,34200,"13,2",18700,13620,24700,"22,3",10200,32170,"3,2","62,3","31,9","11,5","-13,8","8,1",0,13918.0,2324.0,607.0,0.0,4222,1612,897,512,0,2023
09261,"43,5",18630,11290,26290,"29,9",4480,35860,8,19480,14320,25840,"19,2",10830,34150,"3,2","53,8","41,6","9,7",-14,"8,9",0,5600.0,699.0,214.0,0.0,1621,597,332,231,0,2023
100811026510387,"43,8",15630,7580,23580,"41,4",1170,33620,"28,8",17420,12440,23490,"28,8",9240,31380,"3,4","63,8",30,"13,1","-14,4","7,5",0,71225.0,13340.0,3519.0,0.0,24278,8607,4552,2405,0,2023
10297,"48,4",17690,10210,25000,"34,4",3610,35540,"9,8",18910,13690,24830,"22,4",10420,33070,"3,2","63,3","33,1","10,7","-14,6","7,5",0,4675.0,622.0,183.0,0.0,1140,456,186,121,0,2023
10323,"41,5",15370,8250,22270,"41,6",2550,29170,"11,4",17030,12430,22280,"28,5",9220,27680,3,"58,1",36,"12,9",-12,5,0,13626.0,2123.0,505.0,0.0,3563,1263,802,439,0,2023
10333,"54,4",19830,12520,27520,"26,1",4920,38100,"7,7",20270,15190,26750,"16,9",11180,35170,"3,1","67,2","33,3",8,-16,"7,5",0,11430.0,1222.0,310.0,0.0,2756,1090,392,207,0,2023
10387,"45,3",16070,7820,24270,"40,1",1170,34890,"29,9",17790,12620,24000,"27,9",9270,32360,"3,5","65,1","29,4","12,7","-15,1","7,9",0,56345.0,10269.0,2618.0,0.0,19980,6969,3622,1938,0,2023
11069,"44,8",17000,7930,25780,"38,1",1290,36440,"28,2",18450,12800,25330,"26,7",9480,33870,"3,6","60,8","33,3","12,3","-15,2","8,8",0,43994.0,8760.0,2510.0,0.0,13130,4632,2857,2061,0,2023
11203,"40,9",16970,9230,24040,"36,9",1600,32470,"20,3",18220,13420,23940,"23,6",9650,30790,"3,2","52,2",40,"11,7","-12,7","8,8",0,9086.0,1590.0,347.0,0.0,2521,764,606,552,0,2023
11206,"42,2",17970,10810,25090,"31,5",4110,34520,"8,4",19150,13980,24840,"21,2",10360,32490,"3,1","54,4","39,2","10,2","-13,5","9,7",0,9039.0,1092.0,535.0,0.0,2529,875,487,519,0,2023
11262,"45,2",17760,9460,26540,"34,9",2580,37870,"14,7",18890,13330,25950,"23,9",9890,35170,"3,6","57,3","36,8","10,4","-15,1","10,6",0,49967.0,7881.0,2201.0,0.0,15836,5700,3335,2259,0,2023
12176,"57,3",20830,13700,28890,"23,2",7210,39070,"5,4",21330,15720,27730,"15,5",11550,36330,"3,1",65,"32,1","6,1","-15,5","12,3",0,10335.0,775.0,299.0,0.0,2444,1050,226,272,0,2023
12300,"45,9",19280,12080,26660,"27,6",5570,36340,"6,5",19950,14520,25930,"18,6",10700,33920,"3,2","52,6","41,7","7,5","-15,3","13,5",0,10321.0,1151.0,330.0,0.0,2477,882,371,411,0,2023
13001,65,25050,15290,38050,"19,9",7490,56120,"7,5",24590,16890,34870,14,11600,49100,"4,2","73,7","27,5","4,5","-21,4","15,7",0,137050.0,9136.0,2539.0,0.0,39086,10252,3394,2157,0,2023
13004,"48,3",17870,10210,26240,"33,1",4480,36980,"8,2",18990,13510,25630,"23,3",9940,34020,"3,4","66,1","30,4","9,3","-15,8",10,0,51331.0,6267.0,1738.0,0.0,12590,4458,2116,1055,0,2023
13005,"55,6",20950,13520,29530,"23,5",6850,41240,6,21300,15690,28180,"15,4",11490,37190,"3,2","70,1","30,3","7,1","-17,4","9,9",0,45118.0,3965.0,1090.0,0.0,10454,3743,1452,1003,0,2023
13014,"49,5",18530,11960,25600,"28,2",6770,33410,"4,9",19470,14650,25480,"18,5",11030,31820,"2,9","70,6","26,5","8,6",-13,"7,3",0,13593.0,1121.0,369.0,0.0,3033,1065,425,220,0,2023
13027,"51,4",19240,12370,27510,"26,8",7000,38890,"5,6",19960,14680,26600,"18,4",10960,35600,"3,2",73,"25,7","6,8","-15,9","10,4",0,15229.0,944.0,415.0,0.0,3229,1299,350,156,0,2023
13041,"57,4",21530,14670,29390,"20,2",8490,38470,"4,5",21820,16420,28250,"12,8",12280,35670,"2,9","73,5","27,7","6,4","-15,2","7,6",0,21287.0,1464.0,420.0,0.0,4899,1800,554,353,0,2023
13047,"59,7",21680,14500,29710,"20,7",7890,39350,5,21910,16410,28330,"12,9",12200,35980,3,"75,1","27,8","6,5","-16,1","6,7",0,42569.0,3976.0,1088.0,0.0,9274,3726,1287,626,0,2023
13054,"55,6",20230,12630,28180,26,5530,37250,"6,7",20780,15020,27110,"18,3",10510,34340,"3,3","72,6","27,7","7,7","-15,5","7,5",0,36337.0,3764.0,781.0,0.0,7596,2796,1118,597,0,2023
13055,"52,5",18320,8720,28780,"35,5",1890,42010,"22,2",19370,12980,27380,"25,8",9280,37570,4,"72,5","26,4",10,"-18,3","9,4",0,875917.0,150707.0,31367.0,0.0,235760,75416,48770,19793,0,2023
1305513070,"52,5",18370,8770,28810,"35,4",1930,42020,"21,7",19410,13010,27400,"25,7",9300,37570,4,"72,6","26,4",10,"-18,2","9,2",0,882240.0,151014.0,31477.0,0.0,236959,75869,48900,19885,0,2023
13056,"57,2",21320,12750,30630,"25,5",5680,41430,"7,3",21630,15180,29020,"17,2",10990,37640,"3,4","68,9","32,2","7,3","-16,2","7,8",0,48840.0,5214.0,1304.0,0.0,10628,3734,1918,852,0,2023
13063,49,17770,10650,25070,"32,9",5440,33010,"6,1",18890,13810,24670,"21,8",10400,31200,3,"68,8","28,7","9,8","-13,1","5,8",0,24509.0,2834.0,827.0,0.0,5788,2175,876,380,0,2023
13067,"49,7",18730,11370,27180,"30,2",6320,38720,"6,1",19630,14020,26970,"21,1",10470,36890,"3,5","71,9","25,1","7,5","-15,1","10,6",0,2778.0,253.0,81.0,0.0,530,187,97,46,0,2023
13077,"46,3",17850,10470,25490,"33,4",4000,34430,"8,6",19060,13870,25270,"21,6",10290,32200,"3,1","66,1","30,8","10,8","-13,5","5,8",0,19637.0,4327.0,720.0,0.0,4772,1595,1522,401,0,2023
13103,"55,9",20640,12850,29760,"25,5",6430,40870,"6,4",21150,15240,28450,"16,7",11180,37320,"3,3","73,1","27,9","7,2","-16,7","8,5",0,44022.0,3683.0,1171.0,0.0,10308,3977,1212,800,0,2023
13106,"56,2",21290,14030,29260,"22,3",6390,38640,6,21620,15770,28220,"15,2",11310,35320,"3,1","73,3","27,5","6,9","-15,1","7,4",0,11630.0,1140.0,233.0,0.0,2420,817,345,208,0,2023
13108,"43,3",16060,8120,23830,"40,5",3900,32710,"8,4",17370,12190,23690,"29,8",9140,31010,"3,4","63,9","29,9","10,9","-13,5","8,8",0,12507.0,1673.0,433.0,0.0,2863,1062,511,267,0,2023
13117,"57,5",20350,12310,28240,"26,8",5910,37040,"6,3",21000,15120,27370,"16,9",11310,34610,"3,1","74,5","25,9","8,4","-14,4","5,6",0,38123.0,3850.0,1061.0,0.0,8115,3037,1219,552,0,2023
14118,"55,5",20280,11490,30390,"28,6",4030,44210,11,20770,14490,28800,"19,5",10270,39870,"3,9","70,1","30,2","8,1","-18,2","9,8",0,90502.0,13210.0,3866.0,0.0,38312,11502,4486,2616,0,2023
1411814271,"55,4",20270,11630,30170,"28,3",4170,43810,"10,5",20770,14570,28600,"19,2",10360,39570,"3,8","70,2",30,8,"-18,1","9,9",0,95131.0,13566.0,3982.0,0.0,39585,12056,4622,2747,0,2023
1411814341,"55,6",20370,11720,30060,"28,1",4360,43120,"9,9",20850,14650,28550,"18,9",10400,39130,"3,8","70,1","30,2","8,1","-17,9","9,5",0,100708.0,14061.0,4100.0,0.0,40966,12547,4719,2881,0,2023
14167,"46,5",17060,10760,23580,"33,3",5110,30620,6,18480,14390,23410,"18,4",11070,29110,"2,6","68,9","27,9","11,8","-12,4","3,8",0,6968.0,934.0,233.0,0.0,1988,971,246,172,0,2023
14327,"47,4",16700,8870,24340,"37,6",3380,33520,"9,9",18250,13120,24000,"25,2",9990,31620,"3,2","67,4","29,7","11,5","-13,8","5,2",0,19144.0,3029.0,921.0,0.0,7018,2504,906,509,0,2023
14333,52,18670,12240,27350,"27,6",6470,39850,"6,2",19470,14610,26530,"18,4",11040,36660,"3,3","64,1","33,8","7,2","-16,3","11,2",0,7344.0,572.0,200.0,0.0,1776,808,225,115,0,2023
14366,"43,3",17200,10390,23760,"33,4",4050,31950,"7,9",18480,13740,23690,"21,9",10320,30440,"2,9","58,6",37,"10,7","-13,2","6,9",0,17899.0,2537.0,669.0,0.0,5829,2355,916,601,0,2023
15014,"52,2",20130,13450,28150,"23,6",6260,38220,"6,1",20940,15720,27470,"14,8",11680,36050,"3,1","61,3","36,5","7,4","-16,2",11,0,23331.0,2611.0,1140.0,0.0,7006,2782,805,958,0,2023
16015,"47,6",17950,8870,26920,"35,2",860,38070,"44,4",19120,13400,26260,"23,9",9520,35160,"3,7","66,6","29,6","11,4","-15,6",8,0,41363.0,8349.0,1948.0,0.0,14141,4862,2973,1332,0,2023
16102,"53,6",20500,12420,29720,"26,3",4810,41460,"8,6",21000,15100,28520,"17,4",10950,38100,"3,5","66,5","31,6","7,9","-16,4","10,4",0,16338.0,1865.0,436.0,0.0,4626,1967,814,551,0,2023
16113,"48,9",19480,12620,25610,"26,1",5990,33760,"5,6",20260,15470,25220,"15,8",11680,32020,"2,7","64,1","33,3","9,3","-13,3","6,6",0,6976.0,738.0,199.0,0.0,2056,740,277,268,0,2023
16374,"43,3",16360,6930,24890,"40,7",720,34990,"48,3",18030,12380,24690,"28,8",9140,32590,"3,6","57,6","35,6","13,5","-13,6","6,9",0,8982.0,1983.0,378.0,0.0,2468,871,592,342,0,2023
17299,"47,2",18570,11060,26390,"30,3",4050,35830,"8,8",19520,14360,25730,"19,4",10550,33230,"3,1","57,8","38,6","9,8","-14,4","8,2",0,22403.0,3176.0,1087.0,0.0,6652,2635,1153,942,0,2023
17300,55,20530,12140,30720,"27,3",5140,45090,"8,8",21010,14950,29160,18,10830,40730,"3,8","61,9",37,"7,6","-17,8","11,3",0,73913.0,9077.0,2717.0,0.0,25176,7806,3443,2504,0,2023
17306,56,22050,14950,31420,"19,5",8420,44120,"5,2",22340,16630,30100,"12,9",12250,40380,"3,3","40,2","57,8","4,7","-17,3","14,6",0,19378.0,1689.0,524.0,0.0,3809,1556,670,460,0,2023
17415,"50,1",20420,13020,28790,"24,9",5450,40060,"7,3",21010,15280,27890,"16,1",11200,37100,"3,3","58,8","39,9","7,8","-15,8","9,3",0,22618.0,2615.0,987.0,0.0,6347,2350,1023,858,0,2023
18033,"55,1",20250,11610,29140,"27,9",3770,39830,"10,6",20810,14750,27820,"18,8",10520,36300,"3,4","66,4","33,3","8,9","-16,6",8,0,60279.0,8827.0,2242.0,0.0,17686,6356,3429,2096,0,2023
18197,"44,7",18670,12180,25480,"27,6",4440,33820,"7,6",19500,14600,25020,"18,3",10730,32020,3,"52,9","44,4","9,1","-13,8","7,4",0,7982.0,722.0,187.0,0.0,2404,821,420,450,0,2023
18279,"42,4",17170,9580,23810,"34,5",2470,31470,"12,8",18410,13420,23740,"23,7",9910,30000,3,"55,2","39,8","11,2","-12,8","6,6",0,23579.0,3861.0,917.0,0.0,6341,2191,1483,1101,0,2023
19031,"51,7",19540,12520,27940,"26,4",6350,38910,"6,1",20300,14970,27090,"16,7",11400,36050,"3,2","61,4","37,2","7,3","-16,1","10,2",0,42018.0,3443.0,1574.0,0.0,11230,4581,1023,1296,0,2023
21054,"58,6",21320,14260,30240,"21,4",8480,45080,"5,3",21570,16030,28840,"13,1",12230,40970,"3,4","68,4","32,2","5,4","-18,6","12,6",0,17946.0,1037.0,464.0,0.0,4099,1656,374,378,0,2023
21166,"44,6",16100,8900,23580,"38,9",4150,31770,"7,7",17740,13090,23530,"25,4",10060,30340,3,63,"32,2","11,8","-12,6","5,6",0,13507.0,2218.0,814.0,0.0,3395,1288,524,441,0,2023
21231,"60,8",21690,13600,30920,"23,5",6510,43640,"6,7",21830,15820,29240,"15,4",11330,39290,"3,5","73,8","29,3","6,4","-18,5",9,0,130999.0,13834.0,3735.0,0.0,47015,14720,4572,2826,0,2023
21355,"57,2",20750,13260,28050,"24,3",6970,36420,"5,2",21170,15540,27220,15,11600,33940,"2,9",69,"32,5","7,3","-14,9","6,1",0,8164.0,632.0,210.0,0.0,2062,888,242,185,0,2023
21617,"61,2",22980,13650,34550,"23,6",6090,50060,"8,2",22950,15880,32070,"14,8",11790,44510,"3,8","62,3","38,5","6,1","-20,5","13,6",0,10487.0,1160.0,344.0,0.0,2225,777,345,255,0,2023
22050,"52,5",22020,13920,31350,"22,5",6710,44260,"6,6",22190,16120,29810,"14,7",11620,39820,"3,4","61,4","37,9","6,9","-16,9","10,7",0,13432.0,1187.0,365.0,0.0,3635,1205,512,549,0,2023
22113,"55,9",21880,14660,30590,"20,6",7310,41100,"5,6",22190,16500,29250,13,12120,37730,"3,1","64,6","36,3","6,7","-16,3","8,7",0,17893.0,1318.0,354.0,0.0,4867,1529,561,597,0,2023
22215,"53,3",20750,14720,27390,"19,7",8420,35220,"4,2",21290,16750,26700,"11,3",12630,32790,"2,6","64,9","35,6","7,2","-14,2","6,5",0,10605.0,717.0,192.0,0.0,2217,798,289,278,0,2023
22278,"49,7",19100,11030,27340,"30,4",3500,38000,"10,9",19960,14240,26580,"20,3",10270,34930,"3,4","64,9","33,7","9,5","-15,7","7,6",0,43046.0,5815.0,2325.0,0.0,12545,4229,2019,1451,0,2023
23096,"51,2",19600,11460,27720,"28,6",3560,37530,"10,5",20270,14620,26810,"19,7",10580,34640,"3,3","58,9","40,2","9,1","-15,5","7,3",0,11465.0,1790.0,783.0,0.0,3687,1427,528,709,0,2023
24037,"45,1",17900,10510,25900,"32,3",4060,36100,"8,9",19090,13900,25530,"21,3",10310,33860,"3,3","52,8","42,4","9,5","-14,6","9,9",0,24732.0,2826.0,957.0,0.0,6769,2598,1214,1103,0,2023
24138,"52,5",19980,12650,27780,"26,1",5140,37250,"7,3",20520,15300,26880,"17,2",11220,34500,"3,1",60,"40,3","7,9","-15,2",7,0,7372.0,1047.0,201.0,0.0,1663,694,379,165,0,2023
2413824322,"49,4",19450,11350,27880,"28,8",3650,38810,"10,6",20160,14440,27050,"19,7",10370,36070,"3,5","62,1","35,9","8,9","-15,7","8,8",0,37077.0,5944.0,2344.0,0.0,11425,4269,1963,1283,0,2023
25031,"44,6",16430,9470,23510,"37,3",3870,32680,"8,4",18000,13430,23470,"23,4",10200,30910,3,"64,5",31,"11,8","-12,6","5,3",0,14195.0,2065.0,545.0,0.0,3481,1184,724,462,0,2023
25056,"53,1",19030,10180,28450,"32,3",2860,40700,"14,2",19890,13910,27240,"21,7",10040,36930,"3,7","69,6","29,7","9,6","-17,2","8,3",0,101435.0,15932.0,4026.0,0.0,37624,11325,5111,3668,0,2023
25057,"41,9",15140,9100,22360,"41,2",4280,29200,"6,8",16920,12940,22790,26,9940,28470,"2,9","61,9","32,6","12,4","-11,2","4,3",0,5519.0,804.0,227.0,0.0,1205,370,263,161,0,2023
25284,"46,9",16980,9480,24040,"36,9",5140,31810,"6,2",18530,13740,23980,"21,7",10690,30050,"2,8","64,3","32,5","11,7","-12,4","3,9",0,5741.0,790.0,205.0,0.0,1329,475,244,202,0,2023
25388,"48,1",16930,8970,25590,"37,3",3070,36730,12,18380,13360,25140,"23,7",10000,34080,"3,4",65,"32,3","11,2",-15,"6,5",0,23850.0,4237.0,1065.0,0.0,6799,2115,1432,763,0,2023
25462,"61,8",24100,16030,36050,"17,8",9110,51430,"5,6",23790,17510,33680,"11,1",12750,46050,"3,6","81,9","23,3","4,8","-18,2","8,2",0,17344.0,803.0,312.0,0.0,3371,1108,359,452,0,2023
25547,"41,3",15090,9100,21620,"41,7",4320,27680,"6,4",16820,13330,22000,"24,1",10410,26800,"2,6","62,6","30,7",14,"-10,9","3,6",0,3672.0,573.0,147.0,0.0,1095,390,214,145,0,2023
25580,"49,3",17980,10580,25890,"32,6",5370,34980,"6,5",19100,13940,25420,"20,9",10660,32890,"3,1","64,5","35,2","9,1","-13,9","5,1",0,10221.0,1213.0,352.0,0.0,2126,707,409,296,0,2023
26166,"48,4",19540,13560,26380,"23,2",7720,34450,"4,5",20180,15670,25900,"15,3",11540,32230,"2,8","69,1",29,"6,6","-14,2","9,5",0,5689.0,301.0,122.0,0.0,1125,388,92,99,0,2023
26198,"51,5",19320,11400,28060,"29,5",5360,39840,"7,4",20080,14370,27350,"19,5",10650,36870,"3,5","64,3","32,9","7,8","-16,3","11,3",0,37181.0,3488.0,1342.0,0.0,8992,3288,1183,987,0,2023
26235,"50,5",18370,11300,26200,"29,8",5960,34990,"5,9",19340,14190,25700,"19,7",10870,32860,3,"67,5","31,2","8,5","-14,2",7,0,13024.0,1090.0,482.0,0.0,2889,1071,318,282,0,2023
26281,"47,4",18240,10830,25700,"31,3",5160,35340,"6,9",19400,14040,25480,"20,9",10520,33270,"3,2","63,2","33,4","8,9","-14,8","9,3",0,31608.0,2878.0,1272.0,0.0,7725,2872,995,865,0,2023
26325,"45,1",16870,10510,23650,33,5770,30760,"5,3",18420,13640,23970,"22,5",10100,29580,"2,9","70,2","26,6","9,7","-12,5",6,0,6440.0,498.0,176.0,0.0,1313,447,114,98,0,2023
